Vehicles created successfully.
Speed: 8, Lane: 1, Distance: 8, Plate: MRB1G
Speed: 16, Lane: 1, Distance: 32, Plate: MRB1G
Speed: 16, Lane: 2, Distance: 43, Plate: RU16
Speed: 24, Lane: 3, Distance: 56, Plate: TOYS4US
Speed: 22, Lane: 1, Distance: 54, Plate: MRB1G
Speed: 20, Lane: 2, Distance: 63, Plate: RU16
Speed: 30, Lane: 3, Distance: 86, Plate: TOYS4US
Speed: 27, Lane: 1, Distance: 81, Plate: MRB1G
Speed: 24, Lane: 2, Distance: 87, Plate: RU16
Speed: 40, Lane: 3, Distance: 126, Plate: TOYS4US
Speed: 32, Lane: 1, Distance: 113, Plate: MRB1G
Speed: 31, Lane: 2, Distance: 118, Plate: RU16
Speed: 46, Lane: 3, Distance: 172, Plate: TOYS4US
Speed: 41, Lane: 1, Distance: 154, Plate: MRB1G
Speed: 40, Lane: 2, Distance: 158, Plate: RU16
Speed: 53, Lane: 3, Distance: 225, Plate: TOYS4US
Speed: 50, Lane: 1, Distance: 204, Plate: MRB1G
Speed: 42, Lane: 2, Distance: 200, Plate: RU16
Speed: 57, Lane: 3, Distance: 282, Plate: TOYS4US
Speed: 56, Lane: 1, Distance: 260, Plate: MRB1G
Speed: 51, Lane: 2, Distance: 251, Plate: RU16
Speed: 65, Lane: 3, Distance: 347, Plate: TOYS4US
Speed: 65, Lane: 1, Distance: 325, Plate: MRB1G
Speed: 60, Lane: 2, Distance: 311, Plate: RU16
Speed: 72, Lane: 3, Distance: 419, Plate: TOYS4US
Speed: 66, Lane: 1, Distance: 391, Plate: MRB1G
Speed: 67, Lane: 2, Distance: 378, Plate: RU16
Speed: 77, Lane: 3, Distance: 496, Plate: TOYS4US
Speed: 72, Lane: 1, Distance: 463, Plate: MRB1G
Speed: 72, Lane: 2, Distance: 450, Plate: RU16
Speed: 85, Lane: 3, Distance: 581, Plate: TOYS4US
Speed: 78, Lane: 1, Distance: 541, Plate: MRB1G
Speed: 76, Lane: 2, Distance: 526, Plate: RU16
Speed: 95, Lane: 3, Distance: 676, Plate: TOYS4US
Speed: 86, Lane: 1, Distance: 627, Plate: MRB1G
Speed: 86, Lane: 2, Distance: 612, Plate: RU16
Speed: 100, Lane: 3, Distance: 776, Plate: TOYS4US
Speed: 96, Lane: 1, Distance: 723, Plate: MRB1G
Speed: 92, Lane: 2, Distance: 704, Plate: RU16
Speed: 106, Lane: 3, Distance: 882, Plate: TOYS4US
Speed: 104, Lane: 1, Distance: 827, Plate: MRB1G
Speed: 101, Lane: 2, Distance: 805, Plate: RU16
Speed: 116, Lane: 3, Distance: 998, Plate: TOYS4US
Speed: 106, Lane: 1, Distance: 933, Plate: MRB1G
Speed: 109, Lane: 2, Distance: 914, Plate: RU16
Speed: 121, Lane: 3, Distance: 1119, Plate: TOYS4US
Winner: Vehicle in Lane 3
